Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
9.631397265104640892e-01 1.021993718850218835e+00 -2.519646167563769018e-04 -1.480593438327331779e-03 1.529757003477110466e-01 -1.823770795313272464e+00 1.760964212657965822e-01
9.636509882606919541e-01 1.022050868598014084e+00 -1.213128731849019053e-03 -1.385399915364506898e-03 9.117062126170717706e-02 -1.819748132665369278e+00 1.846701311550376923e-01
9.641732151738604539e-01 1.022076124767335115e+00 -2.191231176667326683e-03 -1.283736468315310308e-03 3.026861588795979122e-02 -1.810033575418032337e+00 1.924955540985697489e-01
9.647116661159188533e-01 1.022068694685637436e+00 -3.192823622000640679e-03 -1.174785213307229757e-03 -2.909990312695128270e-02 -1.794857101083654261e+00 1.995017800843446321e-01
9.652683811903369770e-01 1.022027561995246803e+00 -4.218245306003201751e-03 -1.058367226421629437e-03 -8.599579278100188962e-02 -1.774683263162247782e+00 2.055985547549943337e-01
9.658416311631393691e-01 1.021952568782327209e+00 -5.260954146418198724e-03 -9.351720290962613810e-04 -1.392996231379377003e-01 -1.750330249273226224e+00 2.107083184975892254e-01
9.664286599721928495e-01 1.021844798479389915e+00 -6.313021359346119091e-03 -8.062209253289085104e-04 -1.881581751943406655e-01 -1.722840259826130316e+00 2.148176324234189194e-01
9.670264731018930471e-01 1.021706406430456848e+00 -7.366830501827294556e-03 -6.726584047471143198e-04 -2.320992610576758652e-01 -1.693316465032244311e+00 2.179763755707310180e-01
9.676342660853752831e-01 1.021539671556794371e+00 -8.419372123211121481e-03 -5.351510964523299415e-04 -2.711395285721157067e-01 -1.662678956015746445e+00 2.202866638258418608e-01
9.682636231117770498e-01 1.021342963181618657e+00 -9.489063428547647727e-03 -3.914927550942572066e-04 -3.061375182752901769e-01 -1.631085725818217647e+00 2.218898276396139013e-01
9.689232885761626113e-01 1.021114144487770270e+00 -1.058852780322808683e-02 -2.400308989961273958e-04 -3.375897130262693335e-01 -1.598744678485954918e+00 2.228798651104927642e-01
9.696212581136089970e-01 1.020850513228996892e+00 -1.172837149183977683e-02 -7.925238289485996240e-05 -3.658434594424337938e-01 -1.565864806310322876e+00 2.233291328379254370e-01
9.703653833295358133e-01 1.020548849438797312e+00 -1.291824812979154753e-02 9.232327303405780939e-05 -3.911657478971640733e-01 -1.532653102864920847e+00 2.232980373336109492e-01
9.711635204968324109e-01 1.020205516737437312e+00 -1.416712734269640235e-02 2.761570061175657831e-04 -4.137747074766103261e-01 -1.499320223302753607e+00 2.228402733425192683e-01
9.720239350035474457e-01 1.019816395759619354e+00 -1.548394359822797064e-02 4.737683028672940778e-04 -4.338689762346630285e-01 -1.466068247439045180e+00 2.220057490049252846e-01
9.729550811764380303e-01 1.019377049305944416e+00 -1.687725650453661061e-02 6.866733795190005938e-04 -4.516326968195328861e-01 -1.433100421781220435e+00 2.208424351864295698e-01
9.739656998369693452e-01 1.018882741002141490e+00 -1.835543042674440267e-02 9.164003022193005239e-04 -4.672479574506690492e-01 -1.400612835350868446e+00 2.193972792397680949e-01
9.750647666571388150e-01 1.018328503262221574e+00 -1.992659450608287586e-02 1.164473323767838565e-03 -4.808998355063696106e-01 -1.368789892905533545e+00 2.177164672043449267e-01
9.762615134882421941e-01 1.017709154964049567e+00 -2.159872038346994164e-02 1.432417043222584648e-03 -4.927795790488210814e-01 -1.337796671430153461e+00 2.158450517831043136e-01
9.775657192963469466e-01 1.017019156696803428e+00 -2.338006225476166322e-02 1.721822451365241863e-03 -5.030863820812779830e-01 -1.307766809212474568e+00 2.138258265526878643e-01
9.789879050713485853e-01 1.016252486594562576e+00 -2.527941658808121120e-02 2.034390118189001624e-03 -5.120240260520738662e-01 -1.278798458674520466e+00 2.116983410965523893e-01
9.805397698273783380e-01 1.015402365267755513e+00 -2.730666038130385651e-02 2.372023943843473877e-03 -5.197974689153985750e-01 -1.250949936443356947e+00 2.094978299544598410e-01
9.822096155313545518e-01 1.014474934334997691e+00 -2.944157846003321588e-02 2.731562654005961245e-03 -5.265179187563859831e-01 -1.224610522543199354e+00 2.072864799360414345e-01
9.840102331538448377e-01 1.013462911650006903e+00 -3.169631278243715405e-02 3.115202227747521004e-03 -5.324212367756764319e-01 -1.199662923126730840e+00 2.050847127039552298e-01
